,train_loss,valid_loss,accuracy_breed,accuracy_species,w,id
1,0.5469880104064941,0.4316108226776123,0.2171853929758072,0.8538565635681152,0.05,10
2,0.46330389380455017,0.4171556830406189,0.23071718215942383,0.8619756698608398,0.05,10
0,0.8086456656455994,0.5979245901107788,0.22801081836223602,0.8396481871604919,0.1,11
1,0.6542781591415405,0.5137863159179688,0.30040594935417175,0.8680649399757385,0.1,11
2,0.5682669878005981,0.4958248734474182,0.31461435556411743,0.8748308420181274,0.1,11
0,0.8041618466377258,0.6093222498893738,0.22868742048740387,0.8254398107528687,0.1,12
1,0.6412389874458313,0.5083367228507996,0.31732070446014404,0.8734776973724365,0.1,12
2,0.5587819218635559,0.4940456748008728,0.3281461298465729,0.8809201717376709,0.1,12
0,0.8001696467399597,0.6006360054016113,0.21109607815742493,0.8410013318061829,0.1,13
1,0.6472138166427612,0.5265702605247498,0.2997293770313263,0.8592692613601685,0.1,13
2,0.5467283129692078,0.5147324204444885,0.31190797686576843,0.8619756698608398,0.1,13
0,0.7996825575828552,0.60793536901474,0.2368064969778061,0.8234100341796875,0.1,14
1,0.6669059991836548,0.5364258289337158,0.29634642601013184,0.8477672338485718,0.1,14
2,0.563322901725769,0.5158088207244873,0.30311232805252075,0.8612990379333496,0.1,14
0,0.8006888031959534,0.5965580940246582,0.22056832909584045,0.8450608849525452,0.1,15
1,0.6522200703620911,0.5082329511642456,0.2929634749889374,0.8694181442260742,0.1,15
2,0.5562856197357178,0.4853743612766266,0.32408660650253296,0.8755074143409729,0.1,15
0,0.9409308433532715,0.7279845476150513,0.25439783930778503,0.8281461596488953,0.15,16
1,0.7767461538314819,0.6228338479995728,0.32273343205451965,0.8592692613601685,0.15,16
2,0.660290539264679,0.5989325642585754,0.33829498291015625,0.877537190914154,0.15,16
0,0.9487100839614868,0.7219456434249878,0.26251691579818726,0.8288227319717407,0.15,17
1,0.7722517848014832,0.6110947132110596,0.33829498291015625,0.8592692613601685,0.15,17
2,0.6493218541145325,0.5885881781578064,0.3518267869949341,0.8653585910797119,0.15,17
0,0.9405668377876282,0.7093838453292847,0.25710418820381165,0.8213802576065063,0.15,18
1,0.7687495350837708,0.6033341884613037,0.33829498291015625,0.8599458932876587,0.15,18
2,0.6548027992248535,0.5782601833343506,0.3558863401412964,0.8673883676528931,0.15,18
0,0.9178590178489685,0.6821573376655579,0.295669823884964,0.8592692613601685,0.15,19
1,0.7613641023635864,0.6037448048591614,0.332882285118103,0.8673883676528931,0.15,19
2,0.6397389769554138,0.5812073349952698,0.3511502146720886,0.8721244931221008,0.15,19
0,0.9341928958892822,0.704705536365509,0.2713125944137573,0.8349120616912842,0.15,20
1,0.7638438940048218,0.6017833352088928,0.343031108379364,0.8673883676528931,0.15,20
2,0.652546763420105,0.576503574848175,0.36062246561050415,0.8721244931221008,0.15,20
0,1.0428757667541504,0.8020671010017395,0.28078484535217285,0.8281461596488953,0.2,21
1,0.8709048628807068,0.6912303566932678,0.3653585910797119,0.8646820187568665,0.2,21
2,0.7527390122413635,0.6622528433799744,0.3795669972896576,0.877537190914154,0.2,21
0,1.056652545928955,0.818557620048523,0.2686062157154083,0.834235429763794,0.2,22
1,0.8569267988204956,0.6837830543518066,0.36603519320487976,0.8734776973724365,0.2,22
2,0.7376684546470642,0.6615836024284363,0.3700947165489197,0.8795669674873352,0.2,22
0,1.0685087442398071,0.8035659790039062,0.2855209708213806,0.834235429763794,0.2,23
1,0.868780791759491,0.6841689944267273,0.35250338912010193,0.858592689037323,0.2,23
2,0.7433310151100159,0.6640948057174683,0.3667117655277252,0.8768606185913086,0.2,23
0,1.0511597394943237,0.7752376794815063,0.2983761727809906,0.8504736423492432,0.2,24
1,0.8594154715538025,0.6660996079444885,0.3667117655277252,0.8802435994148254,0.2,24
2,0.7402171492576599,0.64383465051651,0.3876860737800598,0.8809201717376709,0.2,24
0,1.0506426095962524,0.7999293208122253,0.2868741452693939,0.843031108379364,0.2,25
1,0.851689875125885,0.692004919052124,0.35385656356811523,0.8633288145065308,0.2,25
2,0.7274012565612793,0.6632503271102905,0.37889039516448975,0.8728010654449463,0.2,25
0,1.1683565378189087,0.9092754125595093,0.3078484535217285,0.834235429763794,0.25,26
1,0.9532386660575867,0.77790766954422,0.3890392482280731,0.8734776973724365,0.25,26
2,0.8150906562805176,0.7489842772483826,0.4018944501876831,0.8761840462684631,0.25,26
0,1.1827690601348877,0.8961029052734375,0.30311232805252075,0.832882285118103,0.25,27
1,0.9676414132118225,0.7729793787002563,0.37753722071647644,0.8721244931221008,0.25,27
2,0.8268565535545349,0.7465499043464661,0.38159674406051636,0.874154269695282,0.25,27
0,1.1865862607955933,0.8933054208755493,0.3064952492713928,0.8389715552330017,0.25,28
1,0.9765470027923584,0.7721229195594788,0.3755074441432953,0.877537190914154,0.25,28
