,train_loss,valid_loss,accuracy_breed,accuracy_species,w,id
9,0.1456136405467987,0.21529653668403625,0.04668470844626427,0.9073071479797363,0.0,5
0,0.846479058265686,0.6843210458755493,0.16035182774066925,0.7841677665710449,0.1,6
1,0.7276315689086914,0.569383978843689,0.26657646894454956,0.8376184105873108,0.1,6
2,0.6158390641212463,0.4954691529273987,0.3207036554813385,0.8809201717376709,0.1,6
3,0.5403260588645935,0.4559957981109619,0.37753722071647644,0.8863328695297241,0.1,6
4,0.45829546451568604,0.4194088280200958,0.4255751073360443,0.9059540033340454,0.1,6
5,0.4023974537849426,0.393873006105423,0.43910691142082214,0.9120432734489441,0.1,6
6,0.35574015974998474,0.3809873163700104,0.47090664505958557,0.9133964776992798,0.1,6
7,0.32622671127319336,0.37053269147872925,0.4763193428516388,0.9133964776992798,0.1,6
8,0.2988568842411041,0.3644007444381714,0.48646819591522217,0.9147496819496155,0.1,6
9,0.28854382038116455,0.3654007017612457,0.4830852448940277,0.9140730500221252,0.1,6
0,0.8487418293952942,0.670755922794342,0.18809202313423157,0.7861975431442261,0.1,7
1,0.7209738492965698,0.5705550312995911,0.25439783930778503,0.8396481871604919,0.1,7
2,0.6155140399932861,0.49755990505218506,0.33017590641975403,0.8640053868293762,0.1,7
3,0.528418779373169,0.4495239555835724,0.3653585910797119,0.8856562972068787,0.1,7
4,0.46173417568206787,0.4217734634876251,0.42489850521087646,0.8883626461029053,0.1,7
5,0.3945470452308655,0.40847426652908325,0.42895805835723877,0.9093369245529175,0.1,7
6,0.36397433280944824,0.39328643679618835,0.45196211338043213,0.908660352230072,0.1,7
7,0.32554498314857483,0.38992488384246826,0.4526387155056,0.8991881012916565,0.1,7
8,0.29577571153640747,0.38425517082214355,0.46549391746520996,0.9025710225105286,0.1,7
9,0.29524528980255127,0.37907668948173523,0.47428956627845764,0.9059540033340454,0.1,7
0,0.838456928730011,0.672622561454773,0.1779431700706482,0.8024356961250305,0.1,8
1,0.7257062196731567,0.5579608678817749,0.25439783930778503,0.8497970104217529,0.1,8
2,0.6149080395698547,0.4831819534301758,0.3288227319717407,0.8788903951644897,0.1,8
3,0.5218886733055115,0.43487459421157837,0.3768606185913086,0.8971583247184753,0.1,8
4,0.4674658179283142,0.4112931191921234,0.41813260316848755,0.9039242267608643,0.1,8
5,0.40298378467559814,0.4021046459674835,0.42625167965888977,0.9018944501876831,0.1,8
6,0.34920093417167664,0.370461106300354,0.46143436431884766,0.9147496819496155,0.1,8
7,0.3135376572608948,0.3618782162666321,0.46278753876686096,0.9147496819496155,0.1,8
8,0.298287570476532,0.35751062631607056,0.4790257215499878,0.9167794585227966,0.1,8
9,0.2857639491558075,0.36199745535850525,0.4682002663612366,0.9127199053764343,0.1,8
0,0.8449272513389587,0.655788779258728,0.1833558827638626,0.8112313747406006,0.1,9
1,0.7240339517593384,0.5664666891098022,0.2645466923713684,0.8464140892028809,0.1,9
2,0.6210083961486816,0.48881804943084717,0.32408660650253296,0.8700947165489197,0.1,9
3,0.5249969363212585,0.4439743459224701,0.37347766757011414,0.8937753438949585,0.1,9
4,0.46762654185295105,0.437977135181427,0.39580515027046204,0.8944519758224487,0.1,9
5,0.41627413034439087,0.4055701792240143,0.4269282817840576,0.8978348970413208,0.1,9
6,0.35636574029922485,0.38747698068618774,0.4526387155056,0.9066305756568909,0.1,9
7,0.3160686492919922,0.37763792276382446,0.46278753876686096,0.9154262542724609,0.1,9
8,0.2996037006378174,0.3715863525867462,0.4722598195075989,0.9140730500221252,0.1,9
9,0.29074567556381226,0.37747880816459656,0.46684709191322327,0.9161028265953064,0.1,9
0,0.8330218195915222,0.6527784466743469,0.18741542100906372,0.8146143555641174,0.1,10
1,0.7308367490768433,0.5582918524742126,0.2591339647769928,0.8538565635681152,0.1,10
2,0.618586003780365,0.5001158714294434,0.30581867694854736,0.8734776973724365,0.1,10
3,0.5274718999862671,0.4558078944683075,0.36062246561050415,0.889715850353241,0.1,10
4,0.4505220949649811,0.4034382998943329,0.42083898186683655,0.9093369245529175,0.1,10
5,0.3929794728755951,0.39764511585235596,0.4465493857860565,0.9167794585227966,0.1,10
6,0.35892561078071594,0.3798450231552124,0.45331528782844543,0.9174560308456421,0.1,10
7,0.3178108036518097,0.36315083503723145,0.4621109664440155,0.9181326031684875,0.1,10
8,0.3051324486732483,0.35996899008750916,0.4803788959980011,0.9181326031684875,0.1,10
9,0.2854349613189697,0.3552895784378052,0.48240867257118225,0.9161028265953064,0.1,10
0,1.1299198865890503,0.8851582407951355,0.2449255734682083,0.7889039516448975,0.2,11
1,0.9700012803077698,0.7445164918899536,0.31867387890815735,0.8552097678184509,0.2,11
2,0.8159246444702148,0.6627206206321716,0.3809201717376709,0.8802435994148254,0.2,11
